number|name|pts|type|description|price|lat|lng
1|Bypass Rock Creek|40|forty|"Bring water from Crabbs Branch to the Potomac without it going through Rock Creek, take a photo at both location."|Free|39.12199158|-77.15759568
2|Read a First and Second Story|40|forty|Find the same book in both the Dupont Circle and Rockville locations of Second Story books.|Free|39.05663929|-77.11064347
3|Ride the Longest Escalator in the Western Hemisphere|20|twenty|Ride the Wheaton Escalator.|Free|39.03871931|-77.05024568
4|Eat a Costco Hotdog in MD|15|fifteen|Eat a hotdog at the Wheaton Costco Food Court.|Item|39.03534527|-77.05462839
5|"Find Head, Shoulders, Knees, and Toes"|20|twenty|"Find head, shoulders, knees, and toes at the National Museum of Health and Medicine."|Free|39.00860187|-77.05344868
6|Jump the Great Falls|40|forty|(Safely) jump any stretch of water at Great Falls.|Free|38.99654961|-77.24814702
7|Make it to the Top|15|fifteen|Stand on top of the North Corner Boundary Stone.|Free|38.99594297|-77.04099012
8|Get Some Lift|20|twenty|Use the Lift and Gravity machine at the College Park Aviation Museum.|Ticket|38.97878337|-76.92221924
9|Play a Disc Golf Basket|20|twenty|Play one whole disc golf hole at the Calvert Road Disc Golf course.|Free|38.97562235|-76.91679525
10|Do a Jumpin' Jack at Jumpin' Jack Spring|5|five|Do a jumping jack at Jumpin' Jack Spring.|Free|38.97291541|-77.04746365
11|Be Treated Like Family|30|thirty|Be served at the Hyattsville Crossing Olive Garden.|Item|38.96737586|-76.9593292
12|Assemble at Comic Hero Playground|15|fifteen|Recreate a comic book panel at Comic Hero Playground; must submit the panel.|Free|38.96515636|-76.96798274
13|Go to the (Burnt) Ends of the Earth|30|thirty|Eat Burnt Ends at 2fifty BBQ in Riverdale.|Item|38.96209091|-76.93482936
14|Ad(d)ams' Family Values|15|fifteen|Record a score on the Addams Family pinball at VÜK Pinball; +5 points if your last name is Adams.|Ticket|38.96061231|-77.08531115
15|Do a Cartwheel at Cartwheel Tower|10|ten|Do a Cartwheel in front of this Cold War antenna tower.|Free|38.95310472|-77.07822961
16|Climb the Highest Height|10|ten|Plant a flag atop the highest point in DC at Fort Reno Park.|Free|38.95183361|-77.07609955
17|Bread First|10|ten|Eat bread from Bread Furst; must be the first photo you take.|Item|38.94752317|-77.0657379
18|Bring the Jungle to Upton Sinclair|15|fifteen|Lay (respectfully) foliage at the grave of Upton Sinclair in Rock Creek Cemetery.|Free|38.9469101|-77.01086851
19|Study the (Washington College of) Law|15|fifteen|Read a legal textbook at AUWCL.|Item|38.94590972|-77.07978595
20|Compare Fabergé and Chicken Eggs|30|thirty|Compare the size of a real chicken egg and a Fabergé egg in the Hillwood collection.|Ticket|38.94363781|-77.05247223
21|Drop Newton's Apple on your Head|15|fifteen|Drop an apple on your head under the NIST clone of the Newton Apple Tree.|Item|38.94193678|-77.0655769
22|Peirce the Mill|5|five|Sing a Peirce the Veil song in front of Peirce Mill.|Free|38.94025123|-77.05187393
23|Jump the Little Falls|15|fifteen|Jump over the falls at Little Falls Branch.|Free|38.94001403|-77.11831056
24|Contemplate Your Journey at the Wayside Shrine|15|fifteen|Spend a moment of contemplation at the Wayside Shrine at the Franciscan Monastery.|Free|38.93760571|-76.98292154
25|"Okay, PB"|10|ten|Eat a Peanut Butter sandwich in front of OKPB.|Item|38.93071933|-77.03793506
26|Sacred-Secular Sightseeing|10|ten|Point out the Darth Vader on the National Cathedral.|Free|38.93061278|-77.07106256
27|Make a Friend at Mt Pleasant Library|10|ten|Turn a stranger into a friend at Mt Pleasant Neighborhood Library.|Free|38.93061088|-77.03727891
28|Call a Member of the Opposing Team at the Marconi Memorial|5|five|Phone a member of the other team at this memorial to the radio's creator.|Free|38.93037321|-77.03675428
29|Be Late to Sundressfest|10|ten|Wear a Sundress to Wonderland Ballroom|Free|38.92986761|-77.02799996
30|Buy James Wine|10|ten|Buy the party a bottle of wine from Sonny's Pizza.|Item|38.92965595|-77.02351511
31|Chain Yourself to Chain Bridge|15|fifteen|Chain yourself (temporarily) to Chain Bridge.|Free|38.92958772|-77.11605951
32|Eat the Ice-Cream of the Future|10|ten|Eat Dippin' Dots in the National Zoo.|Item|38.92781009|-77.04682648
33|Play a Tune at the Glass Forest|10|ten|Play a tune (doesn't need to be good) on the Glass Forest.|Free|38.92434033|-77.10324045
34|Can I Pet Your Dog? III|10|ten|Pet a dog at the Walter Pierce Dog Park; you must learn the dog's name.|Free|38.92381922|-77.04708343
35|Eat Some Mall Sushi|20|twenty|Eat sushi from the conveyor belt at Tyson's.|Item|38.92350387|-77.22423456
36|Enjoy a Cold One with Some Cold Ones|30|thirty|Drink a beer at Tysons Biergarten in front of Northrop Grumman.|Item|38.9224521|-77.20762236
37|Give Serenity a new nose|15|fifteen|Create a new nose for the Serenity Statue in Malcolm X park and add it to her face.|Item|38.92197005|-77.03614829
38|Set Your Watch by the Master Clock|5|five|Set the time on your watch or other clock using the USNO Master Clock.|Free|38.92144758|-77.06332462
39|Get Swole|10|ten|Work out at the Rock Creek Trail Exercise Course.|Free|38.92086412|-77.05198905
40|Eat a Costco Hotdog in DC|15|fifteen|Eat a hotdog at the DC Costco Food Court.|Item|38.92076383|-76.95096209
41|Show Dante the Inferno|5|five|"Light a (small, controlled) flame in front of the Dante Alighieri statute."|Free|38.9202176|-77.03500164
42|Send a boat down the Cascading Waterfall|5|five|Send a boat down at least 3 levels of the Malcolm X Park Waterfall.|Free|38.92001479|-77.03563955
43|Fight on the Beaches|10|ten|Throw a punch at the Winston Churchhill Memorial.|Free|38.91979717|-77.06146409
44|Echo at Echostage|15|fifteen|Shout down the ally outside of Echostage.|Free|38.91978649|-76.97265265
45|Fletch at Fletchers Cove|10|ten|Make an arrow at Fletcher's Cove.|Free|38.91855069|-77.10280776
46|A Real Childhood Cafe|10|ten|Order and drink a cup of Milk (Oat or Almond Okay) from Childhood Cafe.|Item|38.91662857|-77.03872061
47|Read at Anna J Cooper Circle|5|five|Read a passage from A Voice from the South at the only circle in DC named after a woman.|Free|38.91589037|-77.01564673
48|Can I Pet Your Dog? I|5|five|Pet a dog at the S Street Dog Park; you must learn the dog's name.|Free|38.91443457|-77.03866124
49|Enjoy the Flowers with a Friend|10|ten|Find a butterfly in the garden at Mitchell Park.|Free|38.91436498|-77.04979068
50|Buy James a Beer IV|20|twenty|Buy the party a 6 pack at Other Half.|Item|38.91430981|-76.9840463
51|Buy James a Beer I|5|five|Buy the party a 6 pack at Aslin 14th Street.|Item|38.91393708|-77.032336
52|Buy James a Beer III|10|ten|Buy the party a 6 pack at Lost Generation.|Item|38.91374865|-77.00137799
53|Eat Ice Cream on the Spanish Steps|15|fifteen|Channel a Roman Holiday and eat ice cream on the Spanish Steps.|Item|38.91362584|-77.04879719
54|Buy James Booze (European Style)|20|twenty|Buy the party a bottle of liqueur at Don Ciccio & Figli.|Item|38.91341965|-76.98836773
55|Hey! I Know that Grave!|15|fifteen|Find a grave (or tomb) of someone with a Wikipedia page in the Oak Hill Cemetery.|Free|38.91315861|-77.05784957
56|Lotus Pose with the Lotuses|30|thirty|Practice Padmasana in front of Lotuses at the Kenilworth Aquatic Gardens|Free|38.91305711|-76.94376931
57|Can I Pet Your Dog? II|10|ten|Pet a dog at the Eckington Dog Park; you must learn the dog's name.|Free|38.9123231|-77.00082696
58|Tree Pose in the National Arboretum|30|thirty|Practice Vrksasana in the pagoda gazebo at the National Arboretum.|Free|38.91227706|-76.95573996
59|Climb the Bouldering Project|5|five|Climb the outside of the Bouldering Project.|Free|38.91173714|-77.00409082
60|Donate a Barbie to the Q St Pond|30|thirty|Donate a Barbie Doll to the Q Street Pond.|Item|38.91107221|-77.03405599
61|Eat Watermelon at the Watermelon House|10|ten|Eat watermelon in front of the watermelon house.|Item|38.91095486|-77.02758808
62|Call Your Mother|5|five|Call your mom from the Logan Circle Call Your Mother.|Free|38.90980959|-77.03411234
63|Buy James Booze|15|fifteen|Buy the party a bottle of Rum at Cotton and Reed.|Item|38.90949072|-76.99772088
64|Crack a Pack at Fantom Comics|?|question|"Open a pack of Magic, the Gathering cards at Fantom comics; point value is equal to the current cost of the most expensive card on TCGPlayer."|Item|38.90943017|-77.04540236
65|Cher the love at Sonny Bono Park|5|five|Sing a copyrighted Cher song while dressed as Cher.|Free|38.90844583|-77.04473148
66|Have a Beer at the Brewmaster's Castle|5|five|Enjoy a cold one at the Heurich House Biergarten.|Item|38.90815183|-77.04418848
67|Get your Head Down Under|5|five|Do a head-stand lasting at least 60 seconds at the Embassy of Australia.|Free|38.90767086|-77.03687089
68|Buy James a Beer V|30|thirty|Buy the party a 6 pack at Caboose Brewing.|Item|38.90762974|-77.27058385
69|Can I Pet Your Dog? IV|10|ten|Pet a dog at the Francis Dog Park; you must learn the dog's name.|Free|38.9067271|-77.05361121
70|Lay Flowers for the Rats|10|ten|Lay flowers at one of the Rat Graves on the Gallaudet Mall.|Item|38.90670368|-76.99400054
71|Fall down the Exorcist Steps|5|five|Recreate being thrown from a window down these treacherous stairs.|Free|38.90541848|-77.07018536
72|Cheer Up Your Only Friend|5|five|Drink a Cheerwine at Your Only Friend.|Item|38.90480734|-77.02416503
73|Oh Say Can You See|15|fifteen|Be seen in the Francis Scott Key Memorial from the other side of Key Bridge.|Free|38.90476839|-77.06823019
74|Eat a Lime at the Lime Kilns|15|fifteen|Eat a lime in front of the Godey's Lime Kilns.|Item|38.90347838|-77.05612651
75|Walk the Labyrinth Blind|10|ten|Walk through the Georgetown Waterfront Labyrinth with your eyes closed.|Free|38.9031328|-77.06615819
76|Get Change at the Mint|10|ten|Pay with cash and receive change at the U.S. Mint Coin Store.|Item|38.90036321|-77.02386824
77|Eat Butter at the Butter Cow|10|ten|Eat from a stick of butter in front of the Butter Cow at the Renwick.|Item|38.89909802|-77.03909146
78|Abandon Capitalism|10|ten|Leave one dollar at the Victims of Communism Memorial.|Item|38.89850787|-77.01208736
79|Study the Law|15|fifteen|Read a legal textbook at GULC.|Item|38.89826701|-77.01266052
80|Mail James a Birthday Card|10|ten|Mail James a birthday card from the National Postal Museum.|Item|38.8980715|-77.00813552
81|Recreate a Teen Portrait|5|five|Recreate one of the finalists in the 2025 Teen Portrait Competition at the National Portrait Gallery.|Free|38.89781868|-77.0226801
82|See a Ford at Ford's|5|five|Take a picture with both a Ford car and Ford's Theatre in frame.|Free|38.89666766|-77.02591112
83|Do the Roar|15|fifteen|Do that classic Shrek ogre roar on the Marsh Observation Deck on Roosevelt Island.|Free|38.89464466|-77.06076485
84|Take a shot at the Temperance Fountain|15|fifteen|Take a shot (1 oz of any alcohol) at the Temperance Fountain.|Item|38.89373942|-77.02166434
85|Take Sarah to Indiana|30|thirty|Take a physical cut-out of Sarah Prazeau to Indiana Plaza.|Item|38.89361683|-77.02149089
86|Pull a Charlie Brown at RFK|15|fifteen|Recreate the classic Charlie Brown/Lucy comic in front of RFK stadium.|Item|38.89357047|-76.97374629
87|Sit Atop Genius|5|five|Sit on top of the Albert Einstein Memorial.|Free|38.89239812|-77.04841453
88|Get a Drink at the Summerhouse|5|five|Fill up a water bottle at the Capitol Summerhouse.|Free|38.89145886|-77.01070296
89|Find a Home-Grown Gem|5|five|Find a gem from your home state in the Minerals and Gems at the Museum of Natural History.|Free|38.89112625|-77.02623651
90|Sign with the Signers|5|five|Sign something at the Signers' Memorial.|Free|38.89110786|-77.04300731
91|Cut Paper on The Knife's Edge|10|ten|Cut a piece of paper using the sharp edge of the East Building.|Item|38.8909249|-77.01721222
92|Ride the Big Wheel (Part 1)|30|thirty|Ride the 'Great American State Fair' Ferris Wheel.|Free|38.88976383|-77.01695064
93|Mimic Kilroy at the WWII Memorial|5|five|"Mimic Kilroy's pose at the WWII Memorial, both you and he must be in frame."|Free|38.88962536|-77.04029262
94|Blue Yourself at the Reflecting Pool|40|forty|Paint your face blue (a la Tobias Fünke) to match the new color of the Reflecting Pool.|Item|38.88927912|-77.0451317
95|Merry-Go-Round-And-Round|15|fifteen|"Ride the Carousel on the National Mall, twice."|Ticket|38.88904313|-77.02458449
96|Get your Library (of Congress) Card|15|fifteen|Get a library card at the Library of Congress.|Free|38.8886528|-77.00452644
97|The Price of Happiness?|10|ten|Find Red Bottoms in the National Museum of the American Indian.|Free|38.888316|-77.01643359
98|Flexin' like Flavin|5|five|Use your body to recreate a piece by Dan Flavin in the Hirshhorn.|Free|38.88818301|-77.02287894
99|Get Self-Help in Capitol Hill|15|fifteen|Find a self-help book in any Capitol Hill Little Free Library.|Free|38.88805622|-76.99823297
100|Play Techno at the D.C. War Memorial|5|five|Play a digital instrument in the bandstand on the Mall.|Free|38.88754767|-77.04351329
101|Light a Candle in the Japanese Lantern|15|fifteen|Light a candle and place it in the Japanese Stone Lantern.|Item|38.88654002|-77.04119578
102|Eastern(?) Market|10|ten|"Find Asian (Chinese, Arabic, Hindi, etc) script on any item sold at Eastern Market."|Free|38.8864865|-76.99611789
103|Make your own Triumphal Arch|10|ten|Create your own triumphal arch on the site of Trump's proposed arch.|Free|38.88575783|-77.05996482
104|Roll a d20 at Labyrinth|?|question|Roll a d20 at Free RPG day at Labyrinth Games & Puzzles; your roll is your score.|Free|38.88471076|-76.99685931
105|Eat Berries at Marrion Park|10|ten|Eat berries at Marrion Park.|Item|38.88295669|-76.99960087
106|Bury a Bone at Capitalsaurus Court|10|ten|Bury a bone (any kind) in the dirt where the Capitalsaurus was found.|Item|38.88191293|-77.00583591
107|Discover (Racist?) Gay History|15|fifteen|Read a passage from Walt Whitman at the grave of Peter Doyle.|Free|38.88072472|-76.97879395
108|Give Jack Fish a Fish|10|ten|Give a fish (any kind) to the fountains of NPS Regional Director Jack Fish.|Item|38.8801359|-77.04022259
109|Get scared by the Gaurdian Spider and Shadow Snake|20|twenty|Show yourself scared by Basil Kincaid's Guardian Spider and Shadow Snake at the Rubell Museum.|Ticket|38.8794709|-77.01089447
110|Exchange a Tiny Toy|10|ten|Exchange a tiny toy at the SW DC Tiny Toy Exchange.|Item|38.87905263|-77.019093
111|Find a Lady Bird at the Johnson Memorial Grove|15|fifteen|Take a picture with a bird at the LBJ Memorial Grove.|Free|38.87855831|-77.05142612
112|Buy James a Beer II|10|ten|Buy the party a 6 pack at Bluejacket.|Item|38.87509567|-77.00086189
113|Bunt for the Nats|10|ten|Bunt an (improvised?) ball using an (improvised?) bat in front of Nats Stadium.|Item|38.87467195|-77.00740399
114|Fly like Kate Winslet at the Titanic Memorial|5|five|Recreate the bow of the ship scene from Titanic at the Titanic Memorial.|Free|38.87192431|-77.01932478
115|Flop at Audi Field|10|ten|Preform a Soccer Flop at Audi Field.|Free|38.86880406|-77.01145937
116|Planespot at Gravelly Point|15|fifteen|Get a picture with a plane taking off at Gravelly Point.|Free|38.86527233|-77.03824895
117|There's a McDonalds in the Pentagon (City)|10|ten|Order an eat one item from the Pentagon City McDonalds.|Item|38.86334103|-77.060957
118|Eat a Costco Hotdog in VA|15|fifteen|Eat a hotdog at the Arlington Costco Food Court.|Item|38.86099522|-77.05747678
119|Imagine Yourself an Educator|20|twenty|Sketch yourself and place it with the DC Educators sketches at the Anacostia Community Musuem.|Item|38.85651033|-76.97678623
120|Point at Hains Point|5|five|"From any location on the south side of the Anacostia River, point to Hains Point."|Free|38.84933509|-77.0186707
121|Can I Pet Your Dog? V|20|twenty|Pet a dog at the Shirlington Dog Park; you must learn the dog's name.|Free|38.84344169|-77.09022704
122|One Mile Run|15|fifteen|Run one mile on the Four Mile Run trail.|Free|38.8413582|-77.04776029
123|Rename Carey Park|20|twenty|Make a new sign for 'Lillian' Carey Park to rename it James Carey Park.|Free|38.84082427|-77.13977068
124|Get Some Little Guys|15|fifteen|Buy a Warhammer or D&D Miniature at Your Hobby Place.|Item|38.8120226|-77.04568135
125|Catch the Oronoco Flow|10|ten|Record singing Orinoco Flow at Oronoco Bay.|Free|38.81127823|-77.03922009
126|Fill Up the Ice Well|20|twenty|Drop (frozen) ice at the Historic Ice Well monument.|Free|38.80570556|-77.04354137
127|Take the Water Taxi|30|thirty|Take the Potomac Water Taxi.|Ticket|38.80504053|-77.03840566
128|Find What the Torpedos See|15|fifteen|Find any piece of underwater themed art at the Torpedo Factory.|Free|38.80489777|-77.03982114
129|Be in DC in Virginia|10|ten|"Pose in front of the house downspout labeled ""Alexandria, DC."""|Free|38.80325791|-77.04292262
130|Put it All on Black|30|thirty|Place a bet in the MGM National Harbor Casino.|Item|38.79507255|-77.00894459
131|Be in Maryland in Virginia|20|twenty|Be in the Maryland section of Jones' Point (as def. by the Boundary Stone or Google).|Free|38.7903445|-77.04037144
132|Ride the Big Wheel (Part 2)|30|thirty|Ride the Capital Wheel.|Ticket|38.78545746|-77.01907067
133|Become a Statue Dupe|15|fifteen|Duplicate one of the statues at National Harbor.|Free|38.78459469|-77.01615809
